Возраст	Пол	Состоит в браке	Иждивенцы	Доход	Опыт работы	Срок проживания	Недвижимость	Месячный платеж	Благонадежный заемщик
41	мужской	Да	2.0	29800.0	13.5	28.0	0.0	3895.0	Да
28	женский	Нет	2.0	25000.0	7.0	15.0	0.0	4237.0	Да
35	женский	Нет	3.0	8500.0	12.0	23.0	0.0	5842.0	Нет
32	женский	Нет	0.0	33000.0	14.0	26.0	0.0	4920.0	Да
35	мужской	Нет	0.0	17500.0	6.0	5.0	0.0	2562.0	Да
37	мужской	Да	0.0	17000.0	13.5	6.0	0.0	3143.0	Да
32	мужской	Нет	1.0	18700.0	14.0	2.0	0.0	3998.0	Да
37	мужской	Нет	2.0	6000.0	19.0	11.0	0.0	3007.0	Нет
27	женский	Да	0.0	12500.0	9.0	21.0	25.0	8098.0	Нет
50	мужской	Да	0.0	31800.0	23.5	17.0	0.0	3690.0	Да
28	мужской	Да	1.0	5100.0	2.5	7.0	25.0	2870.0	Нет
24	мужской	Да	1.0	2100.0	6.0	12.0	27.0	1896.0	Нет
49	женский	Да	0.0	11000.0	27.0	4.0	32.0	4510.0	Да
30	женский	Нет	1.0	10000.0	12.0	11.0	0.0	5228.0	Нет
35	женский	Нет	0.0	13500.0	17.0	35.0	57.0	4510.0	Да
34	мужской	Да	1.0	9500.0	16.0	34.0	23.0	5740.0	Нет
23	женский	Да	2.0	15500.0	5.0	7.0	70.0	6868.0	Нет
25	мужской	Нет	1.0	12000.0	7.0	6.0	0.0	2255.0	Да
34	мужской	Нет	0.0	13500.0	4.0	20.0	0.0	2768.0	Да
38	мужской	Нет	2.0	14000.0	18.5	20.0	0.0	3178.0	Да
40	мужской	Да	1.0	7000.0	20.0	3.0	39.0	6765.0	Нет
35	мужской	Нет	1.0	27000.0	7.0	27.0	0.0	2562.0	Да
53	мужской	Да	0.0	17000.0	31.0	51.0	10.0	3588.0	Да
22	мужской	Да	0.0	10000.0	3.0	22.0	29.0	2870.0	Да
27	мужской	Нет	0.0	10000.0	9.0	27.0	25.0	3178.0	Да
33	мужской	Да	1.0	9000.0	10.5	3.0	0.0	2050.0	Да
39	мужской	Да	2.0	7000.0	20.5	5.0	0.0	4920.0	Нет
27	мужской	Нет	0.0	12000.0	6.0	27.0	0.0	3690.0	Да
30	мужской	Да	1.0	12000.0	2.0	17.0	0.0	1999.0	Да
35	женский	Да	1.0	7500.0	6.5	35.0	36.0	3024.0	Нет
49	женский	Да	1.0	18800.0	5.0	4.0	32.0	4818.0	Да
40	женский	Да	1.0	7400.0	17.5	23.0	0.0	1025.0	Да
40	мужской	Да	0.0	9500.0	17.5	2.0	0.0	5740.0	Нет
34	мужской	Нет	0.0	14500.0	9.0	3.0	0.0	2050.0	Да
40	мужской	Нет	1.0	11000.0	18.0	40.0	30.0	3212.0	Да
35	женский	Нет	2.0	12500.0	16.0	7.0	21.0	6048.0	Нет
29	женский	Да	0.0	8000.0	11.0	6.0	27.0	2358.0	Да
26	мужской	Да	3.0	34500.0	8.0	15.0	0.0	4715.0	Да
22	женский	Да	1.0	7000.0	3.0	20.0	43.0	4168.0	Нет
35	мужской	Да	1.0	15500.0	6.5	20.0	38.0	3485.0	Да
45	мужской	Да	2.0	11500.0	19.5	3.0	35.0	3485.0	Да
34	мужской	Нет	1.0	3500.0	16.0	34.0	0.0	3024.0	Нет
40	женский	Нет	1.0	10100.0	22.0	5.0	0.0	3485.0	Нет
24	женский	Да	2.0	8800.0	12.0	8.0	0.0	3792.0	Нет
46	мужской	Да	3.0	10500.0	17.5	25.0	0.0	4202.0	Нет
30	женский	Нет	2.0	13000.0	5.0	21.0	0.0	2716.0	Да
22	мужской	Да	0.0	10500.0	4.0	22.0	32.0	1896.0	Да
35	мужской	Да	1.0	5500.0	16.5	35.0	27.0	2358.0	Нет
34	женский	Да	2.0	21500.0	16.0	32.0	41.0	2118.0	Да
37	мужской	Да	0.0	12900.0	14.0	12.0	0.0	3895.0	Да
33	женский	Да	1.0	5400.0	14.0	30.0	0.0	3553.0	Нет
36	мужской	Да	3.0	8700.0	18.0	20.0	0.0	5638.0	Нет
27	мужской	Нет	1.0	11400.0	9.0	8.0	0.0	5022.0	Нет
39	мужской	Да	1.0	13700.0	10.0	5.0	64.0	1948.0	Да
39	мужской	Да	1.0	19500.0	4.0	2.0	0.0	3024.0	Да
36	мужской	Нет	1.0	13000.0	11.0	8.0	0.0	5740.0	Нет
40	женский	Нет	2.0	11000.0	18.0	6.0	0.0	2768.0	Нет
35	мужской	Да	2.0	10500.0	15.5	9.0	33.0	2528.0	Да
37	женский	Да	0.0	10500.0	18.0	6.0	0.0	3895.0	Да
29	женский	Да	1.0	22700.0	11.0	12.0	0.0	5330.0	Да
27	мужской	Да	2.0	7500.0	6.0	6.0	0.0	4202.0	Нет
38	мужской	Нет	0.0	6200.0	17.0	36.0	0.0	3946.0	Нет
35	мужской	Да	1.0	9500.0	5.0	10.0	0.0	3075.0	Нет
29	женский	Нет	0.0	23000.0	11.0	8.0	0.0	4373.0	Да
24	мужской	Да	1.0	10500.0	6.0	24.0	0.0	2665.0	Да
22	женский	Нет	0.0	15300.0	2.0	21.0	0.0	3280.0	Нет
31	женский	Да	1.0	15000.0	12.0	9.0	0.0	4612.0	Да
27	мужской	Да	0.0	15500.0	9.0	16.0	41.0	5842.0	Да
38	мужской	Нет	0.0	8000.0	16.5	2.0	10.0	9225.0	Нет
28	мужской	Нет	1.0	9000.0	10.0	26.0	76.0	6662.0	Нет
30	мужской	Да	0.0	12000.0	10.0	5.0	0.0	3690.0	Нет
25	мужской	Да	1.0	7500.0	7.0	9.0	35.0	3792.0	Нет
37	мужской	Да	0.0	7000.0	8.0	22.0	0.0	3178.0	Нет
24	мужской	Нет	1.0	7000.0	6.0	2.0	0.0	7790.0	Нет
34	женский	Да	0.0	8000.0	9.0	22.0	56.0	3348.0	Нет
40	женский	Да	1.0	15000.0	16.5	25.0	0.0	2358.0	Да
38	мужской	Да	1.0	4900.0	14.5	38.0	36.0	6355.0	Нет
40	женский	Да	2.0	10000.0	18.0	31.0	0.0	3212.0	Да
37	женский	Нет	0.0	5500.0	16.0	20.0	0.0	4202.0	Нет
35	мужской	Нет	1.0	20000.0	15.0	14.0	0.0	3280.0	Да
30	мужской	Да	0.0	12500.0	8.0	4.0	35.0	2870.0	Да
33	мужской	Да	2.0	36700.0	8.5	18.0	36.0	5945.0	Да
25	мужской	Да	0.0	18500.0	7.0	6.0	0.0	2921.0	Да
32	мужской	Нет	0.0	6300.0	14.0	19.0	39.0	3212.0	Нет
38	женский	Да	1.0	16000.0	3.5	15.0	0.0	3588.0	Да
40	женский	Нет	0.0	5000.0	11.0	6.0	27.0	2460.0	Нет
37	женский	Да	1.0	15500.0	9.0	31.0	0.0	6048.0	Да
27	мужской	Да	1.0	3400.0	5.0	2.0	30.0	4168.0	Нет
40	мужской	Нет	0.0	5000.0	17.5	23.0	0.0	4032.0	Нет
29	мужской	Нет	1.0	11500.0	4.0	24.0	39.0	3024.0	Да
38	женский	Нет	1.0	9500.0	15.5	38.0	29.0	2665.0	Да
35	мужской	Нет	1.0	8000.0	16.5	26.0	25.0	5740.0	Нет
28	женский	Да	2.0	7900.0	10.0	7.0	0.0	3178.0	Нет
34	женский	Нет	2.0	6900.0	16.0	7.0	37.0	6868.0	Нет
36	женский	Нет	1.0	5500.0	10.0	32.0	0.0	5945.0	Нет
38	мужской	Да	1.0	12000.0	8.0	6.0	0.0	5330.0	Нет
28	мужской	Да	0.0	6000.0	10.0	3.0	0.0	4510.0	Нет
59	мужской	Да	1.0	10000.0	19.0	11.0	40.0	3331.0	Да
27	женский	Да	1.0	8700.0	9.0	12.0	0.0	3690.0	Нет
38	мужской	Нет	1.0	13500.0	10.5	38.0	0.0	3485.0	Да
36	мужской	Нет	3.0	4200.0	17.0	5.0	33.0	7072.0	Нет
31	мужской	Да	3.0	15700.0	5.5	16.0	31.0	2768.0	Да
58	мужской	Нет	0.0	23500.0	7.5	7.0	36.0	2306.0	Да
32	мужской	Да	2.0	17800.0	14.0	24.0	84.0	5842.0	Да
34	мужской	Да	1.0	10000.0	15.5	4.0	10.0	3382.0	Да
35	мужской	Нет	1.0	6000.0	16.0	2.0	0.0	6252.0	Нет
39	мужской	Да	0.0	8500.0	20.5	6.0	0.0	3143.0	Нет
25	мужской	Да	0.0	8500.0	7.0	25.0	30.0	2921.0	Да
36	мужской	Нет	1.0	9000.0	16.5	2.0	39.0	3075.0	Да
27	мужской	Да	1.0	23000.0	9.0	10.0	0.0	1691.0	Да
32	мужской	Да	0.0	23000.0	12.5	22.0	31.0	3382.0	Да
22	женский	Да	0.0	14000.0	4.0	3.0	34.0	4202.0	Да
30	женский	Да	0.0	21000.0	12.0	3.0	24.0	4715.0	Да
39	женский	Нет	1.0	13500.0	17.5	3.0	0.0	1538.0	Да
33	женский	Нет	1.0	33500.0	13.5	4.0	0.0	4920.0	Да
38	мужской	Да	0.0	6000.0	16.0	2.0	0.0	2562.0	Нет
23	женский	Нет	2.0	7000.0	5.0	23.0	0.0	1845.0	Нет
33	женский	Нет	1.0	23500.0	15.0	2.0	0.0	3622.0	Да
22	мужской	Да	1.0	31500.0	4.0	8.0	33.0	3998.0	Да
27	женский	Да	1.0	13500.0	9.0	19.0	67.0	3553.0	Да
30	мужской	Нет	1.0	10400.0	8.0	2.0	0.0	2204.0	Да
38	мужской	Да	0.0	8000.0	18.5	33.0	0.0	3229.0	Нет
36	мужской	Нет	1.0	6000.0	9.5	8.0	15.0	2768.0	Нет
25	мужской	Нет	2.0	8800.0	7.0	5.0	0.0	2528.0	Нет
28	мужской	Да	0.0	14500.0	4.0	28.0	0.0	6355.0	Да
29	мужской	Да	2.0	12500.0	11.0	23.0	33.0	3690.0	Да
32	мужской	Да	2.0	9000.0	13.5	7.0	0.0	5638.0	Нет
38	мужской	Да	0.0	9500.0	14.5	13.0	0.0	6048.0	Нет
38	женский	Да	0.0	12500.0	14.5	11.0	24.0	3178.0	Да
33	мужской	Да	2.0	5500.0	15.0	2.0	0.0	5432.0	Нет
25	мужской	Нет	1.0	13000.0	7.0	5.0	35.0	6458.0	Да
30	мужской	Да	1.0	34500.0	12.0	12.0	30.0	5022.0	Да
28	мужской	Нет	0.0	26500.0	7.5	7.0	0.0	6458.0	Да
40	мужской	Нет	1.0	4900.0	9.0	3.0	0.0	4612.0	Нет
34	мужской	Да	2.0	13500.0	7.0	6.0	27.0	3485.0	Да
39	женский	Да	2.0	12900.0	16.0	2.0	34.0	6662.0	Нет
33	мужской	Да	0.0	9500.0	15.0	15.0	0.0	5330.0	Нет
36	мужской	Нет	2.0	7800.0	15.5	3.0	0.0	4612.0	Нет
26	мужской	Да	0.0	10500.0	5.0	26.0	84.0	5638.0	Нет
31	женский	Да	0.0	14000.0	13.0	31.0	0.0	4100.0	Да
38	мужской	Нет	0.0	13500.0	14.0	38.0	59.0	6765.0	Да
40	женский	Да	1.0	6000.0	15.5	24.0	0.0	4612.0	Нет
35	женский	Нет	0.0	17600.0	15.5	26.0	28.0	4612.0	Да
28	мужской	Да	1.0	6000.0	10.0	18.0	0.0	4715.0	Нет
32	мужской	Да	1.0	2300.0	14.0	8.0	53.0	5125.0	Нет
29	мужской	Да	4.0	12000.0	11.0	10.0	0.0	6868.0	Нет
30	мужской	Да	2.0	21000.0	12.0	5.0	33.0	4151.0	Да
37	женский	Да	1.0	29500.0	9.0	26.0	0.0	3075.0	Да
36	женский	Нет	1.0	25500.0	17.5	16.0	0.0	5877.0	Да
28	женский	Да	0.0	11500.0	6.0	17.0	0.0	3024.0	Нет
46	женский	Да	1.0	7900.0	2.5	11.0	0.0	5672.0	Нет
31	мужской	Нет	0.0	6500.0	13.0	13.0	0.0	1896.0	Нет
34	женский	Нет	1.0	12000.0	16.0	5.0	0.0	6150.0	Нет
37	женский	Да	1.0	30500.0	9.5	6.0	39.0	4612.0	Да
39	мужской	Да	3.0	9500.0	20.5	11.0	36.0	4818.0	Нет
27	мужской	Да	1.0	6600.0	9.0	2.0	0.0	3417.0	Нет
27	мужской	Нет	0.0	12000.0	7.5	3.0	27.0	7688.0	Нет
24	мужской	Да	1.0	9500.0	8.5	24.0	0.0	2255.0	Да
34	женский	Да	0.0	16000.0	10.0	5.0	0.0	4408.0	Да
31	женский	Нет	1.0	24500.0	11.0	8.0	33.0	2255.0	Да
32	женский	Нет	0.0	6500.0	14.0	29.0	0.0	3075.0	Нет
23	женский	Нет	0.0	14500.0	5.0	20.0	38.0	1486.0	Да
37	мужской	Да	2.0	3800.0	16.5	23.0	0.0	1896.0	Нет
28	мужской	Нет	1.0	24500.0	10.0	2.0	0.0	9225.0	Да
32	мужской	Да	3.0	16000.0	11.5	15.0	0.0	1948.0	Нет
35	мужской	Да	2.0	6000.0	11.5	14.0	0.0	5330.0	Нет
40	женский	Да	0.0	12000.0	18.5	7.0	27.0	3690.0	Да
36	мужской	Нет	2.0	8500.0	17.5	24.0	73.0	5535.0	Нет
33	мужской	Да	1.0	13500.0	12.5	29.0	0.0	7175.0	Да
33	мужской	Да	1.0	9000.0	10.5	2.0	27.0	1913.0	Да
37	женский	Да	0.0	15500.0	19.0	18.0	13.0	6048.0	Да
28	мужской	Да	2.0	17500.0	10.0	27.0	0.0	3639.0	Да
43	мужской	Нет	0.0	23800.0	10.5	3.0	25.0	3690.0	Да
36	мужской	Да	1.0	12000.0	4.0	5.0	0.0	3827.0	Да
40	мужской	Нет	0.0	14500.0	19.5	28.0	0.0	6765.0	Да
36	женский	Да	1.0	10000.0	18.0	4.0	34.0	3331.0	Да
37	мужской	Нет	1.0	5400.0	19.0	2.0	0.0	4032.0	Нет
40	женский	Да	3.0	31000.0	5.5	6.0	0.0	3690.0	Да
31	мужской	Нет	1.0	7700.0	13.0	4.0	57.0	1777.0	Да
38	мужской	Нет	1.0	23200.0	15.0	8.0	27.0	1896.0	Да
23	мужской	Да	0.0	8000.0	5.0	11.0	32.0	2819.0	Да
32	женский	Да	1.0	7500.0	14.0	17.0	0.0	5740.0	Нет
32	мужской	Нет	1.0	21500.0	14.0	2.0	0.0	3998.0	Да
31	мужской	Нет	4.0	34500.0	13.0	10.0	34.0	3998.0	Да
31	мужской	Да	2.0	10500.0	13.0	26.0	0.0	5945.0	Нет
37	мужской	Да	0.0	9500.0	15.0	31.0	0.0	2562.0	Да
23	мужской	Да	0.0	9000.0	5.0	19.0	0.0	1281.0	Да
28	мужской	Да	1.0	16500.0	10.0	3.0	38.0	4442.0	Да
37	мужской	Да	0.0	6000.0	16.0	3.0	0.0	3553.0	Нет
29	женский	Да	2.0	11500.0	9.5	2.0	0.0	2255.0	Да
37	мужской	Да	1.0	15500.0	19.0	2.0	7.0	3280.0	Да
26	мужской	Да	2.0	6400.0	8.0	5.0	0.0	3963.0	Нет
44	мужской	Нет	0.0	16400.0	19.5	12.0	13.0	4202.0	Да
24	мужской	Да	0.0	9000.0	6.0	2.0	0.0	6048.0	Нет
35	женский	Нет	2.0	12000.0	15.5	2.0	0.0	3212.0	Нет
32	мужской	Да	0.0	4000.0	14.0	3.0	0.0	2665.0	Нет
36	мужской	Да	2.0	6500.0	15.5	11.0	0.0	1691.0	Да
34	мужской	Да	2.0	4000.0	16.0	9.0	33.0	4373.0	Нет
35	мужской	Нет	1.0	12500.0	16.0	13.0	36.0	2358.0	Да
40	женский	Да	1.0	8500.0	19.0	3.0	0.0	5638.0	Нет
35	женский	Да	2.0	6500.0	3.5	5.0	38.0	2921.0	Нет
40	мужской	Да	1.0	7500.0	21.0	35.0	0.0	4373.0	Нет
34	женский	Да	1.0	24700.0	15.5	3.0	0.0	1777.0	Да
26	женский	Нет	0.0	7000.0	8.0	15.0	28.0	5535.0	Нет
35	мужской	Нет	0.0	9000.0	9.5	7.0	0.0	3382.0	Да
38	мужской	Нет	2.0	9500.0	13.5	7.0	32.0	4612.0	Нет
35	мужской	Да	1.0	12500.0	16.0	10.0	0.0	4305.0	Да
24	мужской	Нет	0.0	6000.0	6.0	5.0	23.0	3143.0	Да
35	мужской	Да	0.0	15500.0	17.0	25.0	33.0	4818.0	Да
34	мужской	Да	1.0	17000.0	12.5	19.0	0.0	2187.0	Да
40	женский	Да	2.0	15500.0	17.0	2.0	0.0	7688.0	Нет
48	мужской	Да	2.0	13000.0	9.5	17.0	4.0	4920.0	Да
32	мужской	Да	0.0	12500.0	14.0	5.0	0.0	7175.0	Да
36	мужской	Да	1.0	9000.0	13.0	16.0	0.0	1589.0	Нет
36	мужской	Нет	2.0	7200.0	4.5	4.0	88.0	3792.0	Нет
31	мужской	Да	0.0	9000.0	12.0	6.0	6.0	2460.0	Да
23	мужской	Да	2.0	11500.0	5.0	17.0	68.0	2255.0	Да
37	мужской	Да	2.0	11500.0	14.0	6.0	0.0	4818.0	Нет
45	мужской	Нет	1.0	7500.0	26.0	33.0	43.0	3963.0	Нет
35	мужской	Нет	1.0	8500.0	17.0	26.0	0.0	1982.0	Да
36	женский	Да	2.0	5500.0	4.5	32.0	0.0	4715.0	Нет
35	мужской	Да	2.0	9500.0	16.5	13.0	9.0	4818.0	Нет
36	мужской	Да	0.0	3200.0	10.5	13.0	0.0	6252.0	Нет
33	мужской	Да	3.0	17900.0	11.0	6.0	0.0	1896.0	Нет
25	мужской	Да	1.0	15000.0	7.0	5.0	0.0	4510.0	Да
33	женский	Да	1.0	29500.0	15.0	6.0	36.0	5330.0	Да
32	мужской	Да	0.0	20500.0	14.0	2.0	0.0	8200.0	Да
37	женский	Нет	1.0	8500.0	13.0	22.0	0.0	4510.0	Нет
30	мужской	Да	0.0	8000.0	12.0	4.0	0.0	5842.0	Нет
30	женский	Нет	1.0	12000.0	12.0	9.0	4.0	4168.0	Да
29	мужской	Да	2.0	6200.0	11.0	25.0	0.0	1691.0	Нет
34	мужской	Да	1.0	12000.0	15.0	2.0	47.0	6458.0	Нет
30	женский	Да	0.0	9500.0	12.0	24.0	0.0	5057.0	Нет
39	мужской	Да	0.0	11400.0	17.5	6.0	0.0	4442.0	Да
36	мужской	Нет	0.0	14000.0	13.5	33.0	0.0	3792.0	Да
26	мужской	Да	0.0	12100.0	8.0	6.0	0.0	3024.0	Да
32	мужской	Да	2.0	27600.0	13.5	8.0	0.0	2358.0	Да
44	женский	Нет	1.0	12800.0	21.5	11.0	40.0	6252.0	Да
57	мужской	Да	0.0	7500.0	28.0	17.0	34.0	3758.0	Нет
30	мужской	Да	1.0	20700.0	12.0	6.0	0.0	8200.0	Да
33	мужской	Да	1.0	14500.0	15.0	25.0	13.0	4100.0	Да
39	женский	Да	1.0	7000.0	21.0	4.0	0.0	5842.0	Нет
24	женский	Да	2.0	12700.0	6.0	6.0	0.0	3485.0	Да
26	женский	Да	0.0	4700.0	8.0	3.0	34.0	2306.0	Нет
29	женский	Да	1.0	14500.0	11.0	27.0	47.0	1025.0	Да
33	мужской	Да	2.0	10000.0	10.5	19.0	0.0	3417.0	Нет
32	мужской	Нет	0.0	8500.0	14.0	9.0	0.0	5022.0	Нет
28	женский	Да	0.0	7500.0	10.0	15.0	0.0	2392.0	Нет
36	женский	Да	2.0	6500.0	18.0	30.0	0.0	5432.0	Нет
39	мужской	Нет	1.0	15500.0	19.0	2.0	39.0	4100.0	Да
39	женский	Да	1.0	14600.0	17.0	39.0	0.0	3998.0	Да
29	женский	Нет	1.0	9200.0	11.0	16.0	0.0	2460.0	Да
26	мужской	Да	1.0	15500.0	8.0	5.0	0.0	2255.0	Да
39	мужской	Нет	0.0	7600.0	19.0	6.0	0.0	3007.0	Да
32	мужской	Нет	3.0	11000.0	14.0	17.0	0.0	3827.0	Нет
36	мужской	Да	3.0	11500.0	15.0	25.0	32.0	3998.0	Нет
34	мужской	Нет	1.0	12000.0	6.5	5.0	0.0	3588.0	Да
32	мужской	Нет	2.0	7500.0	14.0	2.0	36.0	6048.0	Нет
34	мужской	Да	2.0	8800.0	16.0	3.0	12.0	2870.0	Да
37	мужской	Нет	1.0	15000.0	12.5	2.0	0.0	7175.0	Нет
34	мужской	Нет	2.0	12500.0	6.0	7.0	41.0	4408.0	Нет
33	женский	Да	1.0	34300.0	15.0	3.0	0.0	5330.0	Да
39	женский	Да	1.0	13000.0	20.5	21.0	0.0	3895.0	Нет
34	женский	Нет	2.0	11500.0	13.0	2.0	38.0	4237.0	Нет
26	мужской	Нет	3.0	8000.0	4.0	7.0	0.0	4305.0	Нет
38	женский	Нет	0.0	9000.0	14.0	12.0	40.0	5535.0	Нет
37	мужской	Да	1.0	17500.0	12.5	8.0	0.0	5535.0	Нет
32	мужской	Да	1.0	30000.0	14.0	24.0	34.0	7175.0	Да
24	мужской	Нет	0.0	10500.0	6.0	3.0	0.0	5842.0	Да
37	мужской	Нет	3.0	13000.0	13.5	21.0	0.0	7585.0	Нет
27	мужской	Да	1.0	12800.0	5.0	3.0	10.0	7482.0	Нет
37	женский	Нет	0.0	2500.0	8.0	7.0	39.0	3075.0	Нет
54	мужской	Да	0.0	14100.0	26.0	2.0	38.0	3998.0	Да
40	женский	Да	2.0	7800.0	18.5	3.0	0.0	3382.0	Нет
28	мужской	Нет	0.0	4500.0	10.0	4.0	0.0	3178.0	Нет
35	мужской	Да	0.0	8000.0	12.5	15.0	0.0	5330.0	Нет
32	мужской	Да	1.0	14500.0	14.0	16.0	35.0	4612.0	Да
26	мужской	Да	2.0	12500.0	8.0	4.0	34.0	4818.0	Нет
36	мужской	Да	0.0	8500.0	8.0	3.0	29.0	3382.0	Да
37	мужской	Нет	2.0	26500.0	15.5	31.0	30.0	820.0	Да
31	женский	Да	1.0	11400.0	12.5	3.0	35.0	5842.0	Да
35	мужской	Да	1.0	8500.0	15.5	28.0	0.0	4408.0	Нет
38	мужской	Да	2.0	11000.0	4.5	8.0	24.0	6458.0	Да
51	мужской	Да	0.0	12000.0	14.5	2.0	36.0	2870.0	Да
36	женский	Да	0.0	19100.0	8.5	32.0	64.0	6560.0	Да
30	женский	Нет	2.0	10500.0	12.0	8.0	0.0	6970.0	Нет
37	мужской	Да	2.0	9000.0	15.5	4.0	0.0	6560.0	Нет
36	мужской	Нет	1.0	16000.0	13.5	19.0	39.0	6355.0	Да
27	мужской	Нет	1.0	10000.0	9.0	23.0	33.0	4920.0	Нет
27	мужской	Да	0.0	6500.0	9.0	23.0	0.0	4818.0	Нет
34	мужской	Нет	0.0	11300.0	15.5	34.0	21.0	3844.0	Да
34	женский	Да	1.0	9000.0	4.5	3.0	0.0	4100.0	Нет
32	мужской	Да	1.0	32500.0	14.0	7.0	0.0	3007.0	Да
33	мужской	Да	0.0	24000.0	12.5	15.0	0.0	4920.0	Да
36	мужской	Нет	0.0	6500.0	17.5	6.0	0.0	3588.0	Нет
32	мужской	Да	1.0	10500.0	11.0	16.0	30.0	3639.0	Да
45	женский	Да	0.0	14000.0	2.0	4.0	0.0	7278.0	Нет
22	мужской	Нет	0.0	13000.0	4.0	5.0	0.0	2306.0	Да
29	мужской	Да	2.0	11000.0	11.0	9.0	0.0	4510.0	Нет
35	мужской	Да	0.0	11500.0	5.0	28.0	36.0	1589.0	Да
32	женский	Да	1.0	27000.0	14.0	2.0	0.0	3792.0	Да
34	мужской	Да	1.0	13500.0	6.0	3.0	0.0	3758.0	Нет
35	женский	Да	1.0	9500.0	8.5	16.0	0.0	4408.0	Нет
27	женский	Нет	2.0	19500.0	9.0	22.0	0.0	9840.0	Да
40	мужской	Нет	1.0	5500.0	8.5	11.0	0.0	3553.0	Нет
40	женский	Нет	0.0	12000.0	20.5	8.0	0.0	5125.0	Да
35	мужской	Да	1.0	7000.0	15.5	32.0	0.0	6458.0	Нет
24	мужской	Да	2.0	22000.0	6.0	5.0	0.0	820.0	Да
31	мужской	Да	1.0	21500.0	13.0	27.0	0.0	3690.0	Да
26	женский	Да	1.0	14000.0	5.0	24.0	0.0	4715.0	Да
32	женский	Да	1.0	9500.0	14.0	31.0	0.0	3792.0	Нет
24	мужской	Нет	3.0	14000.0	6.0	20.0	0.0	5022.0	Нет
40	мужской	Да	2.0	15500.0	19.0	9.0	0.0	5945.0	Нет
30	мужской	Да	0.0	16900.0	12.0	19.0	0.0	6252.0	Да
24	мужской	Да	3.0	14500.0	6.0	3.0	0.0	1538.0	Да
40	мужской	Нет	2.0	33500.0	18.0	11.0	0.0	5125.0	Да
23	мужской	Нет	2.0	7500.0	5.0	16.0	0.0	7175.0	Нет
25	мужской	Да	1.0	3400.0	7.0	23.0	34.0	5638.0	Нет
59	женский	Да	0.0	18100.0	15.0	2.0	30.0	2819.0	Да
31	мужской	Да	2.0	21000.0	12.0	18.0	32.0	4715.0	Да
37	женский	Да	1.0	7000.0	14.0	22.0	0.0	2323.0	Нет
25	женский	Да	0.0	11500.0	7.0	16.0	0.0	4408.0	Да
33	мужской	Да	1.0	4000.0	15.0	5.0	0.0	2204.0	Нет
38	женский	Да	1.0	11000.0	18.5	32.0	0.0	3895.0	Да
42	мужской	Да	3.0	15000.0	13.0	3.0	39.0	359.0	Да
